ID, Marque, Ref, Nb, Prix, Date d'achat, Argus, Date dernier argus, Facture, Photo, Type, Numéro de série, Commentaire, En vente
46,Digital sound,Level meter 8928,1,45.6,21-05-2021,44.0,05-07-2024,decibelmetre.pdf,decibelmetre.jpg,Decibelmetre,3138630,,oui
47,Mackie,HM-400,1,178.8,21-05-2021,189.0,05-07-2024,mackie.pdf,mackie.jpg,Ampli casque,,,oui
48,Adam Audio,A5X,2,355.45,04-04-2017,438.94,05-07-2024,adam-a5x.pdf,adam-a5x.jpg,Enceintes,,,oui
49,Samson Technologies,S-amp,1,80.0,26-02-2004,22.11,05-07-2024,samp.pdf,samp.jpg,Ampli casque,,,non
50,Samson Technologies,S-Direct SD100,1,35.95,11-12-2003,26.39,05-07-2024,sd100.pdf,sd100.jpg,DI,,,non
51,Samson Technologies,C01,1,144.9,22-01-2004,67.0,05-07-2024,c01m.pdf,c01m.jpg,Micro,,,oui
52,Presonus,TubePre,1,150.0,12-02-2004,62.72,05-07-2024,presonus.pdf,presonus.jpg,Préampli,TP1-3110592,,non
53,K&M,23956 PopKiller,1,35.0,05-12-2003,21.9,05-07-2024,antipop.pdf,antipop.jpg,Filtre anti pop,,,oui
54,Yamaha,MG12/4,1,190.0,05-12-2003,127.9,05-07-2024,yamaha-12-4.pdf,yamaha-12-4.jpg,Table de mixage,JO03428,,non
55,Boss,OD-3 Overdrive,1,117.2,18-09-2013,118.0,05-07-2024,od-3.pdf,od-3.jpg,Pédale,L3C8050,,oui
56,Peavey,Classic 30,1,598.0,20-02-2010,442.5,05-07-2024,peavey.pdf,peavey.jpg,Ampli guitare,003AJI0808774,,non
57,Beyerdynamic,DT770 Pro 250 Ohm,1,165.0,28-08-2013,139.0,05-07-2024,dt770.pdf,dt770.jpg,Casque,,,oui
58,Squier,JBASS,1,319.0,08-01-2016,0.0,,squier.pdf,squier.jpg,Basse,CY141007315,Argus introuvable,non
59,Epiphone,LP100,1,380.0,19-07-2013,0.0,,epiphone.pdf,epiphone.jpg,Guitare,S4101659,Argus introuvable,non
60,Gibson,LesPaul Studio Premium Plus,1,1519.0,07-02-2008,1263.33,05-07-2024,gibson.pdf,gibson.jpg,Guitare,17370673,,non
61,Charvel,,1,0.0,,0.0,,,charvel.jpg,Guitare,288222,Peu dinfos sur cette guitare,non
62,Alabama,SP-20,1,203.82,09-03-2021,0.0,,alabama.pdf,alabama.jpg,Guitare,,Argus introuvable,non
63,Yamaha,MG166C-USB,1,350.0,01-01-1970,200.0,08-07-2024,,mg166c.jpg,Table de mixage,ECRM01073,,non
64,Shure,8700,1,0.0,01-01-1970,0.0,,,8700.jpg,Micro,,Argus introuvable,non
65,Zoom,H1,1,100.0,01-01-1970,61.0,08-07-2024,,zoomh1.jpg,Enregistreur,B71117503,,non
66,Shure,SM58,2,120.0,01-01-1970,107.0,08-07-2024,,sm58.jpg,Micro,,,oui
67,AKG,D880S,1,0.0,01-01-1970,0.0,,,d880s.jpg,Micro,,Argus introuvable,non
71,test,doifjdoisfj,1,159.0,05-07-2024,140.0,05-07-2024,,,test,123456,dsfdsf,oui
